# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 4. Europäischen Parlament aus der Bundesrepublik Deutschland (12. Juni 1994)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;REP;F.D.P.;ÖDP;BP;CM;LIGA;Solidarität;BSA;APD;BfB;Familie;DSU;GRAUE;NATURGESETZ;Autonome;NPD;FORUM;PBC;PASS;PDS;PEAD;STATT Partei
05 1 12;Duisburg, Stadt;381566;207980;2186;205794;110824;52596;18820;0;7715;5181;493;165;288;105;172;45;873;1649;0;73;2313;375;191;555;110;230;321;1910;73;717
05 1 13;Essen, Stadt;479682;266045;2157;263888;123611;80427;29010;0;7843;10050;816;189;414;137;191;76;1117;1940;0;91;2592;356;253;478;138;335;397;2240;75;1112
05 1 14;Krefeld, Stadt;174302;97525;956;96569;35381;37300;11323;0;2698;4675;339;87;164;41;43;12;393;760;0;27;1558;161;82;161;60;145;142;582;42;393
05 1 16;Mönchengladbach, Stadt;200339;108284;1124;107160;37102;44238;12493;0;2532;5565;522;112;162;43;72;23;408;818;0;50;1008;224;126;208;64;128;138;636;25;463
05 1 17;Mülheim a.d. Ruhr, Stadt;137507;84858;696;84162;39986;25121;9542;0;1913;3851;236;70;95;28;34;11;382;569;0;20;803;158;76;137;53;136;114;523;11;293
05 1 19;Oberhausen, Stadt;169034;94312;815;93497;50322;24661;8721;0;2542;2594;656;77;111;28;43;24;432;488;0;26;864;164;122;337;35;84;158;654;61;293
05 1 20;Remscheid, Stadt;88085;47500;467;47033;19203;16348;4545;0;1693;2581;273;53;71;21;24;5;185;384;0;19;494;94;70;133;38;96;62;402;14;225
05 1 22;Solingen, Stadt;119222;69113;711;68402;26506;23965;7109;0;2205;4118;984;65;108;36;27;3;293;523;0;29;717;135;118;142;25;117;92;742;19;324
05 1 24;Wuppertal, Stadt;278417;154328;1289;153039;61578;48600;19749;0;5468;7918;414;151;273;70;90;17;689;1330;0;58;2353;257;593;335;100;362;186;1605;37;806
05 1 54;Kleve;203470;123111;1588;121523;40767;58408;10310;0;2061;5264;859;87;232;67;53;19;356;633;0;61;798;202;89;135;41;135;121;388;35;402
05 1 58;Mettmann;374930;226170;2089;224081;83835;82994;26072;0;6750;12520;743;233;416;112;156;33;1094;2024;0;90;2267;411;322;435;151;424;254;1456;49;1240
05 1 62;Neuss;316602;192371;2191;190180;65563;81469;19356;0;4791;9973;743;196;335;113;155;21;757;1519;0;92;1828;362;150;341;109;169;198;1036;59;845
05 1 66;Viersen;209657;123667;1341;122326;42243;53149;12423;0;2518;6330;386;139;202;56;83;19;564;832;0;34;1390;253;98;201;60;127;125;548;37;509
05 1 70;Wesel;338380;200705;2061;198644;91223;65436;19909;0;5266;8186;590;166;269;77;116;23;752;1612;0;65;1707;346;208;304;92;218;233;1071;51;724
05 3 13;Aachen, Stadt;171307;110401;1045;109356;32291;46687;18075;0;2066;5095;428;67;124;57;57;11;385;726;0;44;832;225;149;187;107;104;136;1104;19;380
05 3 14;Bonn, Stadt;217793;138277;1519;136758;38675;51713;24285;0;2969;9636;828;249;228;62;74;13;490;2236;0;53;1297;337;161;179;212;294;129;1426;44;1168
05 3 15;Köln, Stadt;675515;381828;3123;378705;146103;115743;65224;0;11404;19876;1198;289;522;177;245;47;1354;2665;0;129;5037;714;478;659;333;496;404;3981;165;1462
05 3 16;Leverkusen, Stadt;119155;72122;746;71376;28266;24969;8618;0;2341;3796;218;59;115;20;66;8;360;550;0;30;712;117;76;106;43;71;68;465;14;288
05 3 54;Aachen;222044;140042;2484;137558;57536;54594;11968;0;3836;4293;323;100;166;74;86;23;613;818;0;48;927;231;93;342;57;75;185;560;39;571
05 3 58;Düren;188837;114800;1751;113049;42954;48488;9869;0;2617;4535;304;112;189;69;71;18;504;781;0;55;891;216;109;184;51;94;149;434;36;319
05 3 62;Erftkreis;320053;200341;2616;197725;85709;67998;20728;0;5475;9756;643;149;271;82;104;33;823;1220;0;70;1823;327;150;309;105;168;180;871;54;677
05 3 66;Euskirchen;134918;83990;1390;82600;26606;37524;8016;0;2375;4553;371;72;186;49;58;10;334;493;0;40;678;182;58;130;41;165;72;259;27;301
05 3 70;Heinsberg;169335;105025;2091;102934;33376;50606;8675;0;2312;3922;368;93;208;50;73;19;429;631;0;48;677;240;67;193;39;53;146;334;23;352
05 3 74;Oberbergischer Kreis;201044;121315;1276;120039;43706;49961;11913;0;3138;5809;470;102;360;109;66;25;465;772;0;45;889;192;88;291;68;469;136;523;28;414
05 3 78;Rheinisch-Bergischer Kreis;202250;128551;1186;127365;41046;51136;16642;0;3138;8892;502;106;256;60;80;12;565;1105;0;51;1311;263;110;250;87;389;120;705;32;507
05 3 82;Rhein-Sieg-Kreis;391508;244979;3386;241593;77612;100414;29966;0;5875;14544;1373;322;458;143;154;30;1131;2533;0;100;2195;591;248;379;147;471;278;1245;75;1309
05 5 12;Bottrop, Stadt;91138;54739;491;54248;28894;16261;4238;0;1363;1183;559;28;53;13;28;7;221;251;0;8;325;73;57;120;13;23;65;301;20;144
05 5 13;Gelsenkirchen, Stadt;214471;111682;1087;110595;58932;28725;9597;0;5512;2466;253;100;192;38;68;22;539;669;0;27;1038;173;84;315;55;154;221;997;36;382
05 5 15;Münster, Stadt;206723;139593;925;138668;41079;52225;28647;0;1831;7970;1135;87;199;62;54;17;299;1264;0;44;950;246;153;152;157;111;133;1392;26;435
05 5 54;Borken;240014;147627;1203;146424;44021;78869;12118;0;1980;4808;726;67;346;65;57;19;397;593;0;50;613;213;111;150;48;102;109;459;32;471
05 5 58;Coesfeld;145488;95299;891;94408;27376;47818;10423;0;1407;4077;304;84;188;57;46;13;289;468;0;41;575;170;92;126;37;41;102;362;12;300
05 5 62;Recklinghausen;496164;287194;2931;284263;138564;90185;26119;0;8943;8295;782;213;414;128;172;45;1367;1800;0;97;2256;490;289;617;122;323;395;1601;62;984
05 5 66;Steinfurt;302751;185010;1706;183304;70125;77826;19130;0;2780;7671;583;92;318;58;68;23;450;933;0;60;858;252;136;390;64;133;144;634;34;542
05 5 70;Warendorf;196561;126407;1389;125018;42777;57367;12200;0;2289;5386;522;97;240;50;75;16;465;823;0;43;916;207;112;198;57;57;112;527;28;454
05 7 11;Bielefeld, Stadt;240252;147821;1674;146147;57057;49933;22622;0;3537;5610;563;128;318;59;72;20;481;1163;0;55;1148;244;325;357;105;338;140;1376;34;462
05 7 54;Gütersloh;235404;141645;1636;140009;46753;61083;16985;0;2987;6234;851;113;293;58;57;31;499;947;0;60;911;262;161;255;65;130;146;636;40;452
05 7 58;Herford;189685;113406;1730;111676;48860;39342;11385;0;2833;4209;376;119;211;52;65;28;432;1044;0;48;660;202;141;273;63;233;121;544;35;400
05 7 62;Höxter;115223;71943;873;71070;20885;37765;5671;0;1562;2102;648;66;345;62;18;9;254;534;0;34;319;86;67;134;26;43;68;188;15;169
05 7 66;Lippe;270515;164758;2235;162523;66841;56915;18541;0;3897;7838;858;178;434;100;113;28;691;1480;0;100;1023;309;176;461;110;789;199;786;50;606
05 7 70;Minden-Lübbecke;239588;138271;1922;136349;60493;46585;13463;0;3305;6439;508;90;276;81;73;16;433;1171;0;64;702;249;276;270;78;512;144;564;28;529
05 7 74;Paderborn;195986;115468;1287;114181;29855;61180;11740;0;2413;4188;621;113;426;76;60;12;349;748;0;52;655;229;88;174;68;154;133;427;36;384
05 9 11;Bochum, Stadt;304118;180774;1590;179184;91654;48149;20577;0;4818;4956;331;148;282;59;106;35;953;1064;0;43;2005;286;265;453;100;265;307;1717;52;559
05 9 13;Dortmund, Stadt;445593;265881;2497;263384;133800;69913;30140;0;8548;8220;599;173;273;85;177;47;1029;1736;0;83;2595;477;348;959;180;206;357;2427;86;926
05 9 14;Hagen, Stadt;157385;84940;888;84052;38164;27259;7602;0;3602;3109;192;75;231;43;35;8;358;748;0;28;846;147;95;324;56;146;114;504;23;343
