# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 3. Europäischen Parlament aus der Bundesrepublik Deutschland (18. Juni 1989)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;F.D.P.;ZENTRUM;ÖDP;Mündige Bürger;BP;BSA;LIGA;CM;DKP;ÖKO-UNION;DVU;REP;FAP;ARB.;HP;MLPD;Bewußtsein;Patrioten
05 7 54;Gütersloh;220967;142375;1321;141054;60618;51753;0;11410;8606;314;955;182;176;29;95;217;184;223;1464;4498;98;43;57;33;55;44
05 7 58;Herford;182834;119142;1299;117843;37968;56930;0;8708;5998;113;293;151;146;33;78;198;159;146;1624;5004;80;33;38;39;63;41
05 7 62;Höxter;110212;73700;811;72889;38014;22323;0;4300;3013;304;694;61;94;11;76;321;69;140;929;2360;50;28;25;12;36;29
05 7 66;Lippe;257772;171070;1909;169161;54010;76585;0;13754;12157;242;543;225;210;37;139;303;290;223;2828;7212;84;55;55;34;113;62
05 7 70;Minden-Lübbecke;229016;146673;1427;145246;45751;70732;0;9733;9104;154;509;140;136;19;85;265;213;232;2038;5801;74;48;40;48;77;47
05 7 74;Paderborn;176939;109395;1111;108284;56427;30751;0;7996;5564;390;442;82;126;18;75;365;112;152;1487;4040;55;44;36;21;64;37
05 9 11;Bochum, Stadt;309387;193900;1335;192565;48878;106591;0;17106;6985;322;496;182;134;47;93;168;536;238;1951;8295;122;93;62;107;97;62
05 9 13;Dortmund, Stadt;453660;285412;1992;283420;71188;155926;0;24090;11079;403;1195;225;207;68;93;181;897;328;3630;13010;278;96;102;184;133;107
05 9 14;Hagen, Stadt;162631;96980;785;96195;29848;45631;0;7254;4459;147;213;82;124;12;55;117;246;158;2065;5499;64;36;30;75;45;35
05 9 15;Hamm, Stadt;130674;80228;772;79456;26782;37178;0;4827;3064;166;351;58;65;23;26;64;183;123;1988;4363;57;41;18;18;23;38
05 9 16;Herne, Stadt;133657;77072;560;76512;18832;44612;0;5026;1928;133;117;68;47;14;44;58;286;79;1394;3647;58;30;22;59;30;28
05 9 54;Ennepe-Ruhr-Kreis;269928;177530;1309;176221;47832;92355;0;14622;9143;200;458;136;204;36;96;207;564;254;2460;7212;110;76;58;84;76;38
05 9 58;Hochsauerlandkreis;201376;134328;1256;133072;67198;45788;0;7330;5591;401;389;90;139;37;112;368;151;162;1251;3824;50;36;35;24;56;40
05 9 62;Märkischer Kreis;321078;193320;1586;191734;68713;79595;0;12855;10997;432;952;228;303;51;179;372;351;340;3834;11985;167;82;65;43;114;76
05 9 66;Olpe;95471;63645;571;63074;36507;18849;0;2817;2312;153;191;44;60;9;40;128;75;60;483;1256;30;12;10;5;19;14
05 9 70;Siegen-Wittgenstein;215345;137040;967;136073;47063;60207;0;9326;8546;192;540;156;164;25;258;321;236;204;2301;6222;79;44;58;21;70;40
05 9 74;Soest;203213;132858;1298;131560;55433;50694;0;9510;6835;452;601;107;152;31;81;319;169;186;1981;4698;83;49;42;29;63;45
05 9 78;Unna;302337;199567;1893;197674;56584;104196;0;14578;7574;309;568;181;182;59;93;212;436;210;3168;8786;151;84;60;69;74;100
905;Nordrhein-Westfalen;12926753;8058446;69585;7988861;2854797;3479586;0;634959;453489;17455;29074;7578;7852;1693;5064;10578;18750;11097;106949;328952;4881;3221;2590;3277;4387;2632

06 4 11;Darmstadt, Stadt;101042;61664;555;61109;17613;22678;0;10746;4344;49;501;90;109;18;62;78;174;119;1033;3251;30;23;43;48;74;26
06 4 12;Frankfurt am Main, Stadt;414330;235944;1893;234051;78445;83348;0;32863;12678;215;957;316;370;91;158;231;1129;395;5674;16258;193;130;118;88;278;116
06 4 13;Offenbach am Main, Stadt;78189;43555;485;43070;13963;16301;0;4486;2321;54;192;60;108;19;25;42;215;86;1291;3722;45;29;27;14;50;20
06 4 14;Wiesbaden, Landeshauptstadt;192970;109426;995;108431;34322;42373;0;11622;8118;128;418;114;197;46;71;116;249;138;2121;8024;62;21;44;24;121;102
