# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 2. Europäischen Parlament aus der Bundesrepublik Deutschland (17. Juni 1984)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;FDP;GRÜNE;EAP;Zentrum;BP;FRIEDEN;EFP;FRAUEN;NPD;ÖDP;Mündige Bürger
05 3 58;Düren;178102;112773;1803;110970;41955;55019;0;4445;6672;106;466;0;966;124;307;482;243;185
05 3 62;Erftkreis;297886;183816;2533;181283;79926;75753;0;7786;12728;188;501;0;1743;215;497;999;628;319
05 3 66;Euskirchen;123986;79036;1440;77596;22993;43844;0;3681;4985;87;367;0;646;79;238;366;185;125
05 3 70;Heinsberg;157889;100341;2292;98049;29855;56373;0;3439;6065;83;437;0;678;110;292;425;133;159
05 3 74;Oberbergischer Kreis;182966;110602;1199;109403;40244;52040;0;5478;8314;99;530;0;1053;150;325;717;250;203
05 3 78;Rheinisch-Bergischer Kreis;188443;114630;1125;113505;37634;53669;0;7459;10695;126;435;0;1585;190;419;658;421;214
05 3 82;Rhein-Sieg-Kreis;351233;216595;2754;213841;66609;109459;0;13616;17493;258;1099;0;2181;364;645;1069;598;450
05 5 12;Bottrop, Stadt;90039;53980;498;53482;28876;18439;0;993;3137;35;189;0;1175;30;133;336;65;74
05 5 13;Gelsenkirchen, Stadt;226151;124097;1053;123044;72476;36139;0;2408;8364;104;550;0;1529;84;292;817;92;189
05 5 15;Münster, Stadt;187131;118625;1006;117619;34653;53933;0;7190;16566;101;1013;0;2742;153;376;435;306;151
05 5 54;Borken;217926;136941;1565;135376;34536;85712;0;3666;7750;93;1190;0;1085;114;375;431;253;171
05 5 58;Coesfeld;127915;83290;953;82337;21343;49487;0;2892;6030;77;796;0;890;75;261;235;137;114
05 5 62;Recklinghausen;483966;288140;2853;285287;148176;100779;0;7341;20424;320;1125;0;3341;251;820;1776;438;496
05 5 66;Steinfurt;278629;175289;2078;173211;63071;85532;0;6762;12850;120;1400;0;1672;139;506;732;223;204
05 5 70;Warendorf;181090;116973;1407;115566;38128;60880;0;4217;8483;94;830;0;1486;83;358;614;183;210
