Land;District;Name;Eligible Voters;Voters;Invalid;Valid;CDU;GRÜNE;SPD;AFD;CSU;DIE LINKE;FDP;Die PARTEI;FREIE WÄHLER;Tierschutzpartei;ÖDP;FAMILIE;VOLT;PIRATEN;MERA25;HEIMAT;TIERSCHUTZ hier!;PARTEI FÜR DIE TIERE;BP;Graue Panther;Die Grauen;Verjüngungsforschung;BIG;Tierschutzallienz;Bündnis C;Die Humanisten;Volksabstimmung;DIE FRAUEN;LKR;BGE;ÖkoLinX;MENSCHLICHE WELT;LIEBE;DIE VIOLETTEN;DIE DIREKTE!;DIE RECHTE;DKP;MLPD;NL;III. Weg;SGP
RP;07338;Rhein-Pfalz-Kreis;117009;80643;1142;79501;24852;13142;16039;9531;0;1896;4847;1405;2165;1210;350;528;385;432;151;164;254;252;123;160;119;133;107;158;156;106;147;122;101;55;31;64;60;51;40;49;18;16;22;56;4
RP;07339;Mainz-Bingen;158871;112369;1497;110872;32383;22666;23496;9302;0;3258;6796;2390;2588;1601;1202;609;774;753;285;118;299;225;112;161;105;133;115;176;128;190;150;122;127;86;68;88;84;58;45;46;21;18;41;41;12
RP;07340;Südwestpfalz;78708;55974;1495;54479;19172;5385;11215;6785;0;1359;3202;1042;2027;1062;217;495;162;311;72;202;251;226;94;120;88;117;8;141;86;36;116;84;51;39;16;62;83;34;27;41;10;15;11;12;3
BW;08111;Stuttgart, Stadtkreis;380985;255470;2172;253298;60371;71920;34244;18876;0;12906;20739;8190;5623;2561;2749;588;2915;2799;1795;188;417;518;191;231;195;174;1050;271;527;534;223;351;316;300;326;180;104;104;122;79;122;286;140;29;44
BW;08115;Böblingen;262708;173851;2542;171309;53646;37295;22184;17562;0;4509;13519;3082;7806;1666;1774;718;881;1243;526;251;304;315;227;205;199;185;363;195;793;280;193;227;250;137;67;136;53;85;73;82;30;123;73;27;25
BW;08116;Esslingen;365828;242055;3565;238490;71185;55218;32659;22958;0;7093;17211;4514;11074;2693;2422;975;1288;1692;839;281;560;511;315;317;255;269;450;311;839;348;242;329;343;206;116;154;97;117;121;144;42;160;87;37;18
BW;08117;Göppingen;178436;111874;2128;109746;33437;22399;15274;13732;0;2678;7617;1842;5092;1428;935;510;392;823;227;187;315;292;189;152;132;134;322;160;275;105;161;153;151;110;51;74;53;66;57;80;23;49;32;30;7
BW;08118;Ludwigsburg;365970;244616;3596;241020;71214;54317;33204;23909;0;7379;17510;4676;11186;2742;3046;1053;1215;1623;656;314;521;475;290;356;288;260;1020;321;887;303;267;321;331;182;168;157;112;112;119;141;42;133;97;45;28
BW;08119;Rems-Murr-Kreis;297477;193131;2913;190218;57809;37425;25739;21895;0;5405;15925;3516;7258;2445;2654;952;903;1519;584;322;491;483;301;235;251;260;451;326;911;218;262;281;278;146;151;145;95;127;89;134;40;93;55;29;15
BW;08121;Heilbronn, Stadtkreis;77185;42835;636;42199;11262;8676;6926;5495;0;1643;3320;911;1024;378;415;136;252;256;111;82;70;84;54;53;59;52;318;60;85;45;53;58;53;30;22;29;17;25;25;27;14;56;13;5;5
